665310034514673686,385
272143648114606083,5
424759721518432256,1
312680806344818699,12
548912410937786368,0
308851097039142914,2
511205053424730132,-1
148552084533280773,4
341664179213565952,14
216072176149725194,1
265004575142969344,18
164525273503498240,3
293898694930202624,1
534141528256544780,1
413502007605985280,1
238194337253556224,1
254292897413726208,-1
456465826728378382,-47
329928420643307520,-1
212332373751103489,-1
318756837266554881,-2
186260996980080641,-2
439193926650298381,-3
149534494032920576,-2